'Bawapuram'	15.8825000000000	77.9572222222222	65000
'Cholachguda'	15.8786111111111	75.7211111111111
'Dameracharla'	16.7391666666667	79.6697222222222
'Halia'	16.7902777777778	79.3386111111111
'Haralahalli'	14.8305555555556	75.6758333333333
'Hoovinahole'	13.9825000000000	76.7516666666667
'Karad'	17.2944444444444	74.1902777777778
'Keesara'	16.7147222222222	80.3202777777778
'Kuppelur'	14.5000000000000	75.6291666666667
'Kurundwad'	16.6836111111111	74.6030555555556
'Madhira'	16.9180555555556	80.3588888888889
'Malkhed'	17.2033333333333	77.1563888888889
'Mantralayam'	15.9452777777778	77.4272222222222
'Marol'	14.9388888888889	75.6180555555555
'Mudhol'	16.3166666666667	75.2000000000000
'PaleruBridge'	16.9488888888889	80.0491666666667
'Phulgaon'	18.6669444444444	74.0022222222222
'Pondugala'	16.6838888888889	79.6611111111111
'Shimoga'	13.9355555555556	75.5780555555556
'TRamapuram'	15.6611111111111	76.9655555555556
'Takli'	17.4141666666667	75.8477777777778
'Vijayawada'	16.5011111111111	80.6250000000000
'Wadenapally'	16.7941666666667	80.0730555555556
